業務別,"銀行代號/BIC",金融機構名稱
"跨行自動化服務機器業務(金融卡)",004,臺灣銀行
"跨行自動化服務機器業務(金融卡)",005,臺灣土地銀行
"跨行自動化服務機器業務(金融卡)",006,合作金庫商業銀行
"跨行自動化服務機器業務(金融卡)",007,第一商業銀行
"跨行自動化服務機器業務(金融卡)",008,華南商業銀行
"跨行自動化服務機器業務(金融卡)",009,彰化商業銀行
"跨行自動化服務機器業務(金融卡)",011,上海商業儲蓄銀行
"跨行自動化服務機器業務(金融卡)",012,台北富邦商業銀行
"跨行自動化服務機器業務(金融卡)",013,國泰世華商業銀行
"跨行自動化服務機器業務(金融卡)",016,高雄銀行
"跨行自動化服務機器業務(金融卡)",017,兆豐國際商業銀行
"跨行自動化服務機器業務(金融卡)",018,全國農業金庫
"跨行自動化服務機器業務(金融卡)",020,日商瑞穗銀行台北分行
"跨行自動化服務機器業務(金融卡)",021,花旗(台灣)商業銀行
"跨行自動化服務機器業務(金融卡)",022,美國銀行台北分行
"跨行自動化服務機器業務(金融卡)",023,泰國盤谷銀行台北分行
"跨行自動化服務機器業務(金融卡)",025,菲律賓首都銀行台北分行
"跨行自動化服務機器業務(金融卡)",039,澳商澳盛銀行台北分行
"跨行自動化服務機器業務(金融卡)",048,王道商業銀行
"跨行自動化服務機器業務(金融卡)",050,臺灣中小企業銀行
"跨行自動化服務機器業務(金融卡)",052,渣打國際商業銀行
"跨行自動化服務機器業務(金融卡)",053,台中商業銀行
"跨行自動化服務機器業務(金融卡)",054,京城商業銀行
"跨行自動化服務機器業務(金融卡)",072,德商德意志銀行台北分行
"跨行自動化服務機器業務(金融卡)",075,香港商東亞銀行台北分行
"跨行自動化服務機器業務(金融卡)",081,匯豐(台灣)商業銀行
"跨行自動化服務機器業務(金融卡)",082,法國巴黎銀行台北分行
"跨行自動化服務機器業務(金融卡)",101,瑞興商業銀行
"跨行自動化服務機器業務(金融卡)",102,華泰商業銀行
"跨行自動化服務機器業務(金融卡)",103,臺灣新光商業銀行
"跨行自動化服務機器業務(金融卡)",108,陽信商業銀行
"跨行自動化服務機器業務(金融卡)",114,基隆第一信用合作社
"跨行自動化服務機器業務(金融卡)",115,基隆市第二信用合作社
"跨行自動化服務機器業務(金融卡)",118,板信商業銀行
"跨行自動化服務機器業務(金融卡)",119,淡水第一信用合作社
"跨行自動化服務機器業務(金融卡)",130,新竹第一信用合作社
"跨行自動化服務機器業務(金融卡)",132,新竹第三信用合作社
"跨行自動化服務機器業務(金融卡)",146,台中市第二信用合作社
"跨行自動化服務機器業務(金融卡)",147,三信商業銀行
"跨行自動化服務機器業務(金融卡)",162,彰化第六信用合作社
"跨行自動化服務機器業務(金融卡)",204,高雄市第三信用合作社
"跨行自動化服務機器業務(金融卡)",215,花蓮第一信用合作社
"跨行自動化服務機器業務(金融卡)",216,花蓮第二信用合作社
"跨行自動化服務機器業務(金融卡)",600,農金資訊股份有限公司
"跨行自動化服務機器業務(金融卡)",700,中華郵政股份有限公司
"跨行自動化服務機器業務(金融卡)",803,聯邦商業銀行
"跨行自動化服務機器業務(金融卡)",805,遠東國際商業銀行
"跨行自動化服務機器業務(金融卡)",806,元大商業銀行
"跨行自動化服務機器業務(金融卡)",807,永豐商業銀行
"跨行自動化服務機器業務(金融卡)",808,玉山商業銀行
"跨行自動化服務機器業務(金融卡)",809,凱基商業銀行
"跨行自動化服務機器業務(金融卡)",810,星展(台灣)商業銀行
"跨行自動化服務機器業務(金融卡)",812,台新國際商業銀行
"跨行自動化服務機器業務(金融卡)",815,日盛國際商業銀行
"跨行自動化服務機器業務(金融卡)",816,安泰商業銀行
"跨行自動化服務機器業務(金融卡)",822,中國信託商業銀行
"跨行自動化服務機器業務(金融卡)",952,財團法人農漁會南區資訊中心
"跨行自動化服務機器業務(金融卡)",997,中華民國信用合作社聯合社南區聯合資訊處理中心
"通匯業務-入戶電匯",000,中央銀行國庫局
"通匯業務-入戶電匯",004,臺灣銀行
"通匯業務-入戶電匯",005,臺灣土地銀行
"通匯業務-入戶電匯",006,合作金庫商業銀行
"通匯業務-入戶電匯",007,第一商業銀行
"通匯業務-入戶電匯",008,華南商業銀行
"通匯業務-入戶電匯",009,彰化商業銀行
"通匯業務-入戶電匯",011,上海商業儲蓄銀行
"通匯業務-入戶電匯",012,台北富邦商業銀行
"通匯業務-入戶電匯",013,國泰世華商業銀行
"通匯業務-入戶電匯",016,高雄銀行
"通匯業務-入戶電匯",017,兆豐國際商業銀行
"通匯業務-入戶電匯",018,全國農業金庫
"通匯業務-入戶電匯",020,日商瑞穗銀行台北分行
"通匯業務-入戶電匯",021,花旗(台灣)商業銀行
"通匯業務-入戶電匯",022,美國銀行台北分行
"通匯業務-入戶電匯",023,泰國盤谷銀行台北分行
"通匯業務-入戶電匯",025,菲律賓首都銀行台北分行
"通匯業務-入戶電匯",029,新加坡商大華銀行台北分行
"通匯業務-入戶電匯",030,美商道富銀行台北分行
"通匯業務-入戶電匯",037,法商法國興業銀行台北分行
"通匯業務-入戶電匯",039,澳商澳盛銀行台北分行
"通匯業務-入戶電匯",048,王道商業銀行
"通匯業務-入戶電匯",050,臺灣中小企業銀行
"通匯業務-入戶電匯",052,渣打國際商業銀行
"通匯業務-入戶電匯",053,台中商業銀行
"通匯業務-入戶電匯",054,京城商業銀行
"通匯業務-入戶電匯",060,兆豐票券金融股份有限公司
"通匯業務-入戶電匯",061,中華票券金融股份有限公司
"通匯業務-入戶電匯",062,國際票券金融股份有限公司
"通匯業務-入戶電匯",066,萬通票券金融股份有限公司
"通匯業務-入戶電匯",072,德商德意志銀行台北分行
"通匯業務-入戶電匯",075,香港商東亞銀行台北分行
"通匯業務-入戶電匯",076,美商摩根大通銀行台北分行
"通匯業務-入戶電匯",081,匯豐(台灣)商業銀行
"通匯業務-入戶電匯",082,法國巴黎銀行台北分行
"通匯業務-入戶電匯",085,新加坡商新加坡華僑銀行台北分行
"通匯業務-入戶電匯",086,法商東方匯理銀行台北分行
"通匯業務-入戶電匯",092,瑞士商瑞士銀行台北分行
"通匯業務-入戶電匯",093,荷商安智銀行台北分行
"通匯業務-入戶電匯",098,日商三菱日聯銀行台北分行
"通匯業務-入戶電匯",101,瑞興商業銀行
"通匯業務-入戶電匯",102,華泰商業銀行
"通匯業務-入戶電匯",103,臺灣新光商業銀行
"通匯業務-入戶電匯",108,陽信商業銀行
"通匯業務-入戶電匯",114,基隆第一信用合作社
"通匯業務-入戶電匯",115,基隆市第二信用合作社
